,Unnamed: 0,Method,$\epsilon$,MMD
0,0,ABC,0%,0.0862163198340743
1,1,ABC,0%,0.0564191879145176
2,2,ABC,0%,0.0452636369266327
3,3,ABC,0%,0.0411371604044515
4,4,ABC,0%,0.0102797952009419
5,5,ABC,0%,0.0690069021320785
6,6,ABC,0%,0.0438852327904298
7,7,ABC,0%,0.0318989336393069
8,8,ABC,0%,0.073831851776181
9,9,ABC,0%,0.0434503369779426
10,10,ABC,0%,0.0752933061285995
11,11,ABC,0%,0.0590706020886417
12,12,ABC,0%,0.0357718332705412
13,13,ABC,0%,0.0914556330049813
14,14,ABC,0%,0.0138092245567453
15,15,ABC,0%,0.0560469683904677
16,16,ABC,0%,0.0113220611289732
17,17,ABC,0%,0.0853357445790897
18,18,ABC,0%,0.0103564595639457
19,19,ABC,0%,0.0390307032985289
20,20,ABC,0%,0.0442191412678315
21,21,ABC,0%,0.0624162098181618
22,22,ABC,0%,0.0433371978236548
23,23,ABC,0%,0.0699665987466569
24,24,ABC,0%,0.0472799866534272
25,25,ABC,0%,0.0132956612270369
26,26,ABC,0%,0.0508776082139494
27,27,ABC,0%,0.0199505086742034
28,28,ABC,0%,0.0104673880652408
29,29,ABC,0%,0.0171130433847281
30,30,ABC,0%,0.0342553761112071
31,31,ABC,0%,0.0605269415697927
32,32,ABC,0%,0.0701021813949986
33,33,ABC,0%,0.0327644316981203
34,34,ABC,0%,0.073204072059046
35,35,ABC,0%,0.1000029991666554
36,36,ABC,0%,0.0556426180088571
37,37,ABC,0%,0.0787891464730075
38,38,ABC,0%,0.0840958073759828
39,39,ABC,0%,0.0275148123013291
40,40,ABC,0%,0.0427507638862653
41,41,ABC,0%,0.008107016655621
42,42,ABC,0%,0.1259912363166516
43,43,ABC,0%,0.014116184497858
44,44,ABC,0%,0.0258470950616176
45,45,ABC,0%,0.0469976963402285
46,46,ABC,0%,0.0266943301527365
47,47,ABC,0%,0.0380361322188138
48,48,ABC,0%,0.0918164842321809
49,49,ABC,0%,0.0608896991771995
50,50,ABC,0%,0.0457559380131294
51,51,ABC,0%,0.067330116176656
52,52,ABC,0%,0.0428490097600688
53,53,ABC,0%,0.0595320211055272
54,54,ABC,0%,0.0236648603855565
55,55,ABC,0%,0.0264735107161082
56,56,ABC,0%,0.0425797711388306
57,57,ABC,0%,0.0650027940389398
58,58,ABC,0%,0.010250446432517
59,59,ABC,0%,0.047876464760968
60,60,ABC,0%,0.0115593715512113
61,61,ABC,0%,0.0561466650662171
62,62,ABC,0%,0.0990239888270412
63,63,ABC,0%,0.0497346985635293
64,64,ABC,0%,0.0122781235128175
65,65,ABC,0%,0.0502574601598748
66,66,ABC,0%,0.0799022840468742
67,67,ABC,0%,0.0158987552075476
68,68,ABC,0%,0.0690020422573551
69,69,ABC,0%,0.0535230209582076
70,70,ABC,0%,0.1175716555106747
71,71,ABC,0%,0.1062613441608235
72,72,ABC,0%,0.0863288331652255
73,73,ABC,0%,0.0163373789924615
74,74,ABC,0%,0.0396614674622083
75,75,ABC,0%,0.0104504058457166
76,76,ABC,0%,0.0734001153348803
77,77,ABC,0%,0.0358019124880554
78,78,ABC,0%,0.0537129584850977
79,79,ABC,0%,0.0603018201297563
80,80,ABC,0%,0.0839819053177733
81,81,ABC,0%,0.0797552175304564
82,82,ABC,0%,0.0664983201946363
