,Unnamed: 0,Method,$\epsilon$,RMSE
0,0,ABC,$\epsilon$=0%,0.518277899837533
1,1,ABC,$\epsilon$=0%,0.5105348112430412
2,2,ABC,$\epsilon$=0%,0.500267414344493
3,3,ABC,$\epsilon$=0%,0.4760067150787554
4,4,ABC,$\epsilon$=0%,0.4098864926549692
5,5,ABC,$\epsilon$=0%,0.5584364695723211
6,6,ABC,$\epsilon$=0%,0.5000847895944691
7,7,ABC,$\epsilon$=0%,0.4870447446580561
8,8,ABC,$\epsilon$=0%,0.5383718608688931
9,9,ABC,$\epsilon$=0%,0.4963656518780884
10,10,ABC,$\epsilon$=0%,0.511606135929286
11,11,ABC,$\epsilon$=0%,0.5334723197344596
12,12,ABC,$\epsilon$=0%,0.4312763452744332
13,13,ABC,$\epsilon$=0%,0.5714547500279573
14,14,ABC,$\epsilon$=0%,0.408176241747698
15,15,ABC,$\epsilon$=0%,0.469157807073567
16,16,ABC,$\epsilon$=0%,0.3934877138359636
17,17,ABC,$\epsilon$=0%,0.5466183269557858
18,18,ABC,$\epsilon$=0%,0.4309398719056436
19,19,ABC,$\epsilon$=0%,0.5003439502671005
20,20,ABC,$\epsilon$=0%,0.4681466170151357
21,21,ABC,$\epsilon$=0%,0.5297073942114201
22,22,ABC,$\epsilon$=0%,0.4883769234260473
23,23,ABC,$\epsilon$=0%,0.4918239837037919
24,24,ABC,$\epsilon$=0%,0.4830892587999343
25,25,ABC,$\epsilon$=0%,0.3858885894010687
26,26,ABC,$\epsilon$=0%,0.4713218122346572
27,27,ABC,$\epsilon$=0%,0.4517795908470669
28,28,ABC,$\epsilon$=0%,0.4065804926629817
29,29,ABC,$\epsilon$=0%,0.4534563823324189
30,30,ABC,$\epsilon$=0%,0.4551764290461518
31,31,ABC,$\epsilon$=0%,0.5087009673441596
32,32,ABC,$\epsilon$=0%,0.5442976115443373
33,33,ABC,$\epsilon$=0%,0.4455308388428209
34,34,ABC,$\epsilon$=0%,0.5333704937367723
35,35,ABC,$\epsilon$=0%,0.5773528992639086
36,36,ABC,$\epsilon$=0%,0.5437463219591941
37,37,ABC,$\epsilon$=0%,0.5329511821957473
38,38,ABC,$\epsilon$=0%,0.5221247426867072
39,39,ABC,$\epsilon$=0%,0.4310231735202043
40,40,ABC,$\epsilon$=0%,0.4816464223892676
41,41,ABC,$\epsilon$=0%,0.4161255630103355
42,42,ABC,$\epsilon$=0%,0.6673440271586724
43,43,ABC,$\epsilon$=0%,0.4118286145117475
44,44,ABC,$\epsilon$=0%,0.4592304570182121
45,45,ABC,$\epsilon$=0%,0.5006068576460825
46,46,ABC,$\epsilon$=0%,0.4426649237228969
47,47,ABC,$\epsilon$=0%,0.4471728056428686
48,48,ABC,$\epsilon$=0%,0.6341029836488492
49,49,ABC,$\epsilon$=0%,0.5334032626565681
50,50,ABC,$\epsilon$=0%,0.5086809076177501
51,51,ABC,$\epsilon$=0%,0.5831651813673879
52,52,ABC,$\epsilon$=0%,0.471063760248
53,53,ABC,$\epsilon$=0%,0.4929851128650618
54,54,ABC,$\epsilon$=0%,0.4153119758471336
55,55,ABC,$\epsilon$=0%,0.3964267417455753
56,56,ABC,$\epsilon$=0%,0.4952997772454833
57,57,ABC,$\epsilon$=0%,0.5144505438651117
58,58,ABC,$\epsilon$=0%,0.4185791049365616
59,59,ABC,$\epsilon$=0%,0.4959164636295403
60,60,ABC,$\epsilon$=0%,0.411531755225084
61,61,ABC,$\epsilon$=0%,0.4908315229030124
62,62,ABC,$\epsilon$=0%,0.5406049842884522
63,63,ABC,$\epsilon$=0%,0.4767623087888424
64,64,ABC,$\epsilon$=0%,0.3956110570391609
65,65,ABC,$\epsilon$=0%,0.4643554954768791
66,66,ABC,$\epsilon$=0%,0.5105861469762499
67,67,ABC,$\epsilon$=0%,0.4296708459938533
68,68,ABC,$\epsilon$=0%,0.5653105961560545
69,69,ABC,$\epsilon$=0%,0.4698265918426526
70,70,ABC,$\epsilon$=0%,0.6133923797378494
71,71,ABC,$\epsilon$=0%,0.6086756050682315
72,72,ABC,$\epsilon$=0%,0.5507072817243265
73,73,ABC,$\epsilon$=0%,0.412731223672815
74,74,ABC,$\epsilon$=0%,0.5097446390933829
75,75,ABC,$\epsilon$=0%,0.3802436742206294
76,76,ABC,$\epsilon$=0%,0.5301134176693885
77,77,ABC,$\epsilon$=0%,0.4737406899970909
78,78,ABC,$\epsilon$=0%,0.520541067904376
79,79,ABC,$\epsilon$=0%,0.4657704712456226
80,80,ABC,$\epsilon$=0%,0.5875501077721856
81,81,ABC,$\epsilon$=0%,0.609547291397059
82,82,ABC,$\epsilon$=0%,0.561263349452303
83,83,ABC,$\epsilon$=0%,0.5376149437465569
84,84,ABC,$\epsilon$=0%,0.4350056220901962
85,85,ABC,$\epsilon$=0%,0.4492699963360275
86,86,ABC,$\epsilon$=0%,0.4749113782200974
87,87,ABC,$\epsilon$=0%,0.5294623308170434
88,88,ABC,$\epsilon$=0%,0.4795181972101075
89,89,ABC,$\epsilon$=0%,0.5386591825049859
90,90,ABC,$\epsilon$=0%,0.691447174372902
91,91,ABC,$\epsilon$=0%,0.6256494490529149
92,92,ABC,$\epsilon$=0%,0.4423859569953347
93,93,ABC,$\epsilon$=0%,0.5158989178921748
94,94,ABC,$\epsilon$=0%,0.4483691374218349
95,95,ABC,$\epsilon$=0%,0.5469380825013211
96,96,ABC,$\epsilon$=0%,0.3884206379206281
97,97,ABC,$\epsilon$=0%,0.4739901670264431
98,98,ABC,$\epsilon$=0%,0.6299038732360027
99,99,ABC,$\epsilon$=0%,0.501659386189043
100,0,ABC-RS (ours),$\epsilon$=0%,0.394557556314273
101,1,ABC-RS (ours),$\epsilon$=0%,0.4488639103649323
102,2,ABC-RS (ours),$\epsilon$=0%,0.4462069203004986
103,3,ABC-RS (ours),$\epsilon$=0%,0.4728191872116397
104,4,ABC-RS (ours),$\epsilon$=0%,0.4384156621928942
105,5,ABC-RS (ours),$\epsilon$=0%,0.477119147349682
106,6,ABC-RS (ours),$\epsilon$=0%,0.4823035741931145
