,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Method,$\epsilon$,MMD
0,0,0,0,0,NPE,0%,0.010881617673027
1,1,1,1,1,NPE,0%,0.0004809019250304
2,2,2,2,2,NPE,0%,0.0006349059746078
3,3,3,3,3,NPE,0%,0.0072581445589772
4,4,4,4,4,NPE,0%,0.0088532674428744
5,5,5,5,5,NPE,0%,0.000443356999375
6,6,6,6,6,NPE,0%,0.0004079705850823
7,7,7,7,7,NPE,0%,0.0002133383522258
8,8,8,8,8,NPE,0%,0.0005548234974853
9,9,9,9,9,NPE,0%,0.0008565908966297
10,10,10,10,10,NPE,0%,0.0374894882354243
11,11,11,11,11,NPE,0%,0.0003326504688985
12,12,12,12,12,NPE,0%,0.0003806674806183
13,13,13,13,13,NPE,0%,0.0003109733059664
14,14,14,14,14,NPE,0%,0.0230237068905295
15,15,15,15,15,NPE,0%,0.0003586936546583
16,16,16,16,16,NPE,0%,
17,17,17,17,17,NPE,0%,0.000663833687177
18,18,18,18,18,NPE,0%,0.0247837477216288
19,19,19,19,19,NPE,0%,0.0319823469682301
20,20,20,20,20,NPE,0%,0.0020618148786185
21,21,21,21,21,NPE,0%,0.0015495229537157
22,22,22,22,22,NPE,0%,0.0101084034558821
23,23,23,23,23,NPE,0%,0.0337317390461969
24,24,24,24,24,NPE,0%,0.0021231931537918
25,25,25,25,25,NPE,0%,0.0003546958142975
26,26,26,26,26,NPE,0%,0.0004346787598538
27,27,27,27,27,NPE,0%,0.0238772071069959
28,28,28,28,28,NPE,0%,0.0319782174962076
29,29,29,29,29,NPE,0%,0.0120477122314689
30,30,30,30,30,NPE,0%,0.0004435718104721
31,31,31,31,31,NPE,0%,0.0208152780545838
32,32,32,32,32,NPE,0%,0.0004324821450595
33,33,33,33,33,NPE,0%,0.0065901539271308
34,34,34,34,34,NPE,0%,0.0003339480550087
35,35,35,35,35,NPE,0%,0.0432303381693992
36,36,36,36,36,NPE,0%,0.0005103360877806
37,37,37,37,37,NPE,0%,0.016402056661003
38,38,38,38,38,NPE,0%,0.0199424129718241
39,39,39,39,39,NPE,0%,0.018309839623581
40,40,40,40,40,NPE,0%,0.0003707680293615
41,41,41,41,41,NPE,0%,0.0004253931241372
42,42,42,42,42,NPE,0%,0.025674949146374
43,43,43,43,43,NPE,0%,0.0003401576971945
44,44,44,44,44,NPE,0%,0.0019434895483906
45,45,45,45,45,NPE,0%,0.0008911010460994
46,46,46,46,46,NPE,0%,0.0024621567926732
47,47,47,47,47,NPE,0%,0.0007911320668997
48,48,48,48,48,NPE,0%,0.0003150480051039
49,49,49,49,49,NPE,0%,
50,50,50,50,50,NPE,0%,
51,51,51,51,51,NPE,0%,0.0210789334870862
52,52,52,52,52,NPE,0%,0.0005018693794163
53,53,53,53,53,NPE,0%,0.0006773270865187
54,54,54,54,54,NPE,0%,0.0007921188176133
55,55,55,55,55,NPE,0%,0.0004596676571662
56,56,56,56,56,NPE,0%,0.0188745101840481
57,57,57,57,57,NPE,0%,0.0085463194511266
58,58,58,58,58,NPE,0%,0.0125113242541644
59,59,59,59,59,NPE,0%,0.0046462503325221
60,60,60,60,60,NPE,0%,0.008691009064772
61,61,61,61,61,NPE,0%,0.0004457344505169
62,62,62,62,62,NPE,0%,0.0056620320835086
63,63,63,63,63,NPE,0%,0.0005192027681172
64,64,64,64,64,NPE,0%,0.0004375507040347
65,65,65,65,65,NPE,0%,0.000421209287842
66,66,66,66,66,NPE,0%,0.0015477654373514
67,67,67,67,67,NPE,0%,0.0121967352809974
68,68,68,68,68,NPE,0%,0.0118905642565647
69,69,69,69,69,NPE,0%,0.0005412689623554
70,70,70,70,70,NPE,0%,0.0009924430614546
71,71,71,71,71,NPE,0%,0.000464974144109
72,72,72,72,72,NPE,0%,0.0217358251277959
73,73,73,73,73,NPE,0%,0.000427739390118
74,74,74,74,74,NPE,0%,0.0134635370877678
75,75,75,75,75,NPE,0%,0.0004326589748782
76,76,76,76,76,NPE,0%,0.0169509299972934
77,77,77,77,77,NPE,0%,0.0005139587772298
78,78,78,78,78,NPE,0%,0.0004076926109145
