,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Method,$\epsilon$,RMSE
0,0,0,0,0,ABC,0%,1.3520345772742006
1,1,1,1,1,ABC,0%,0.614464071251395
2,2,2,2,2,ABC,0%,1.6357411987581842
3,3,3,3,3,ABC,0%,1.879475483866213
4,4,4,4,4,ABC,0%,1.2814906837691544
5,5,5,5,5,ABC,0%,1.3799052120173678
6,6,6,6,6,ABC,0%,1.4755363351083202
7,7,7,7,7,ABC,0%,1.913565091036508
8,8,8,8,8,ABC,0%,1.3656162554242637
9,9,9,9,9,ABC,0%,1.537099859219765
10,10,10,10,10,ABC,0%,2.205453762165196
11,11,11,11,11,ABC,0%,1.795611966614898
12,12,12,12,12,ABC,0%,1.544606187354369
13,13,13,13,13,ABC,0%,1.5047026145473332
14,14,14,14,14,ABC,0%,1.1583691776114429
15,15,15,15,15,ABC,0%,0.5661456485756796
16,16,16,16,16,ABC,0%,2.6857712625354213
17,17,17,17,17,ABC,0%,1.244828206804097
18,18,18,18,18,ABC,0%,1.2360359542539334
19,19,19,19,19,ABC,0%,1.4130986105726098
20,20,20,20,20,ABC,0%,2.122431137167406
21,21,21,21,21,ABC,0%,1.072780791414649
22,22,22,22,22,ABC,0%,1.4625608667428271
23,23,23,23,23,ABC,0%,0.9922067046605786
24,24,24,24,24,ABC,0%,1.8291500252742825
25,25,25,25,25,ABC,0%,1.0778608521943498
26,26,26,26,26,ABC,0%,1.4302454180570667
27,27,27,27,27,ABC,0%,0.495077773989782
28,28,28,28,28,ABC,0%,1.971685344082981
29,29,29,29,29,ABC,0%,0.9211494984835848
30,30,30,30,30,ABC,0%,0.8628200717274987
31,31,31,31,31,ABC,0%,0.507048666067234
32,32,32,32,32,ABC,0%,1.2261107341591313
33,33,33,33,33,ABC,0%,1.1849073964991927
34,34,34,34,34,ABC,0%,1.7884137057314482
35,35,35,35,35,ABC,0%,1.4815184237151826
36,36,36,36,36,ABC,0%,1.0902822052178676
37,37,37,37,37,ABC,0%,1.621466709328499
38,38,38,38,38,ABC,0%,1.6388005600558084
39,39,39,39,39,ABC,0%,1.8476471127596108
40,40,40,40,40,ABC,0%,1.9267461043426024
41,41,41,41,41,ABC,0%,1.4143800296674311
42,42,42,42,42,ABC,0%,1.3815024093378077
43,43,43,43,43,ABC,0%,1.8230100086483128
44,44,44,44,44,ABC,0%,0.5775472293599517
45,45,45,45,45,ABC,0%,1.3375824472870534
46,46,46,46,46,ABC,0%,1.5442246644165347
47,47,47,47,47,ABC,0%,1.4290203023188357
48,48,48,48,48,ABC,0%,1.6113405522874298
49,49,49,49,49,ABC,0%,1.623423161550254
50,50,50,50,50,ABC,0%,1.281941697505774
51,51,51,51,51,ABC,0%,2.0814047087361085
52,52,52,52,52,ABC,0%,1.1895944693855969
53,53,53,53,53,ABC,0%,1.4255105519881963
54,54,54,54,54,ABC,0%,0.6809707961114102
55,55,55,55,55,ABC,0%,1.9555564608511
56,56,56,56,56,ABC,0%,1.6811293174205637
57,57,57,57,57,ABC,0%,1.338768732671066
58,58,58,58,58,ABC,0%,3.0056832447395125
59,59,59,59,59,ABC,0%,1.2342164838304612
60,60,60,60,60,ABC,0%,1.6842372140517496
61,61,61,61,61,ABC,0%,1.5083321729544512
62,62,62,62,62,ABC,0%,1.922421418361825
63,63,63,63,63,ABC,0%,1.845511132203204
64,64,64,64,64,ABC,0%,2.208326781813109
65,65,65,65,65,ABC,0%,1.2770561678350154
66,66,66,66,66,ABC,0%,1.229601130724853
67,67,67,67,67,ABC,0%,1.7893693329984235
68,68,68,68,68,ABC,0%,1.2552966588743937
69,69,69,69,69,ABC,0%,1.3325818993717389
70,70,70,70,70,ABC,0%,0.7644719491715889
71,71,71,71,71,ABC,0%,1.6169443306342626
72,72,72,72,72,ABC,0%,0.7581076527084909
73,73,73,73,73,ABC,0%,1.538978496461686
74,74,74,74,74,ABC,0%,1.498358340694385
75,75,75,75,75,ABC,0%,1.3260315101514195
76,76,76,76,76,ABC,0%,1.2488181417898383
77,77,77,77,77,ABC,0%,2.0516673580195226
78,78,78,78,78,ABC,0%,2.0682418153978643
79,79,79,79,79,ABC,0%,2.143822128049572
80,80,80,80,80,ABC,0%,1.3159517817942006
81,81,81,81,81,ABC,0%,1.0413150204101858
82,82,82,82,82,ABC,0%,1.4573053316107096
83,83,83,83,83,ABC,0%,1.3809362678400892
84,84,84,84,84,ABC,0%,2.094960973628764
